Gene,Rule
CYP1B1,(EP300)
EIF2AK1,(EP300)
EZH2,(EP300)
SLC9A2,(EP300)
NLK,(FOXO1)
RAG1,(FOXO1)
ACADL,(PPARA)
SULT2A1,(PPARA)
UGT1A9,(PPARA) OR (PPARG)
ACAT1,(PPARG)
ALDOB,(PPARGC1A)
OTC,(PPARGC1A)
PLK3,(TP53)
ACADSB,(FOXO1)
ACAT2,(NOT FOXO1)
ACSL5,(NOT FOXO1)
ALPP,(FOXO1)
ATP8A1,(FOXO1) OR (FOXO3)
B4GALT3,(NOT FOXO1)
CTSE,(FOXO1)
ELOVL5,(NOT FOXO1) AND (PPARA)
ELOVL6,(NOT FOXO1) AND (PPARA)
GPAM,(NOT FOXO1) AND (PPARG)
GPD2,(NOT FOXO1)
HAL,(FOXO1)
HPD,(FOXO1)
LPIN2,(FOXO1)
NPC1,(FOXO1) OR (PPARA)
PHLPP1,(NOT FOXO1)
PIGQ,(NOT FOXO1)
RPIA,(NOT FOXO1)
RPS6KA3,(FOXO1)
SCD,NOT FOXO1 AND PPARG
SQLE,(NOT FOXO1)
TDO2,(FOXO1)
CA2,(FOXO1)
ABCC4,(TP53)
TYRP1,(TP53)
RRM1,(TP53)
FADS1,(PPARA)
CBLB,(FOXO3)
HPGD,(FOXO3)
JAK1,(FOXO3)
OGT,(FOXO3)
PINK1,(FOXO3)
SIRT2,(FOXO3)
PFKP,(NOT PPARG)
TGFBR1,(NOT PPARG)
NRF1,(PPARGC1A)
NOS1,(EP300)
NT5E,(FOXO3)
GLS,(NOT PPARG)
IDH1,(FOXO3) OR (FOXO1)
DIO2,(FOXO3)
GMPS,(NOT TP53)
FNTB,(TP53)
FNTA,(TP53)
COX5B,(PPARGC1A)
COX4I1,(PPARGC1A)
SMURF1,(FOXO1)
KCNJ8,(FOXO1) AND (NOT FOXO3)
ACACA,(FOXO1)
ABCC9,(FOXO1)
MSRA,(FOXO3)
ACOT2,(PPARA)
SLC15A1,(PPARA)
EHHADH,(PPARA)
SLC22A3,(PPARA)
ABCB4,(PPARA)
HSD17B4,(PPARA)
SLC16A7,(PPARA)
ELOVL1,(PPARA)
ALDH3A2,(PPARA)
FDPS,(PPARA)
CYP4F12,(NOT PPARA)
CPOX,(PPARA)
AQP7,(PPARA) OR (PPARG)
SLC22A1,(PPARA)
CYP27B1,(NOT PPARA)
UROD,(PPARA)
CYP4X1,(PPARA)
ACOT13,(PPARA)
ACE,(PPARA) OR (PPARG)
ALAD,(PPARA)
PPOX,(PPARA)
UROS,(PPARA)
HSD11B1,(NOT PPARG)
PTPN11,(NOT PPARG)
GSTA2,(PPARG)
DGAT1,(PPARG)
GPIHBP1,(PPARG)
GPX3,(PPARG)
KL,(PPARG)
SLC9A3,(PPARG)
SLC27A4,(PPARG)
DDAH2,(PPARG)
CYP2J2,(PPARG)
CYP26B1,(PPARG)
GSTZ1,(PPARG)
ASS1,(PPARG)
CES3,(PPARG)
CYP3A7,(NOT PPARG)
PDE3B,(PPARG)
CTSS,(PPARG)
EPHB4,(NOT TP53)
RCHY1,(TP53)
TTK,(NOT TP53)
VRK1,(NOT TP53)
PYCR1,(TP53)
PTGDS,(NOT TP53)
ASAH1,(TP53)
SMPD4,(NOT TP53)
RNF144B,(TP53)
GLIPR1,(TP53)
POLL,(TP53)
GSTA1,(NOT TP53)
KIT,(TP53)
SLC29A1,(TP53)
CTSK,(TP53)
TGM1,(NOT TP53)
SMPD1,(TP53)
SLC40A1,(PPARA)
CTSV,(FOXO1)
GCDH,(NOT FOXO1)
PLTP,(FOXO1)
PPA1,(FOXO1)
GALNT14,(NOT FOXO1)
PGAM1,(NOT SIRT1)
