LipidGroup,BH1,BH2,BH3,BH4,BN2,BN3,BN5,BN6,CH1,CH2,CH3,CH5,CN1,CN2,CN3,CN5
DG(15:2)+NH4,136673006.3,9519462.775,11572902.6,3688514.711,27722045.88,5405670.511,7576433.667,28023078.55,15930455.43,9773575.626,8538803.338,12719673.39,25271146.94,5264237.054,17079616.25,4105975.411
DG(15:2)+NH4,14221832.96,2340946.608,18689478.23,18561752.08,9127018.598,9009765.033,15197019.94,17519512.13,30780388.32,16287522.31,7285078.33,6666090.034,10575267.15,15504082.15,4214453.791,922601.778
DG(15:2)+H,13550984.15,5248939.24,2566982.023,15750640.61,9221070.936,31944064.8,706363.878,12466383.87,8469463.48,10266059.06,1748791.712,8426815.735,5545290.846,2827900.48,38279675.26,9594884.437
DG(15:2)+NH4,7961189.913,8142539.197,4059009.419,5241915.237,22705784.69,7317101.678,2538860.481,1900426.588,2539788.603,1220525.768,3916882.35,14965742.87,9833836.519,8393831.131,4287160.299,2300402.565
DG(15:2)+NH4,3511706.452,8914683.757,33326594.16,1546031.572,15871601.72,4007261.342,4761740.344,1792934.142,2522580.645,7637033.307,21604873.65,8343991.95,1390606.815,2451783.997,21315641.1,5839948.222
DG(15:2)+NH4,2789434.658,4103725.305,4777614.915,5731832.487,1483102.822,4432909.564,4286857.602,7847223.748,2991880.125,2952639.225,1925783.451,3829199.204,7773920.595,1454956.177,6541437.611,1952396.483
DG(15:3)+H,2673267.75,3692733.872,7411613.292,2179694.592,1252207.666,4914471.898,6796267.066,1311662.957,3347574.82,6401003.18,12102985.86,15004757.14,1531543.894,14481322.84,5309729.45,2343114.479
DG(15:3)+H,3770701.968,1601003.953,5375201.595,394566.8076,19369041.97,1300091.079,247445473.8,1848679.332,7955324.944,2503189.457,234723959.7,225856617,2071212.478,2616965.285,489922.7025,230946009.5
DG(15:3)+H,186771178.5,175337795.7,2814736.09,4050365.993,4491644.123,5775041.914,96634.7055,166216077.9,3111080.961,179502771,4390798.083,4975057.39,398170877.8,2984077.082,2234173.524,1124206.765
DG(15:3)+H,2391921.437,1588289.309,210565179.5,4565069.252,498493.6635,3889037.39,1905522.5,4569705.234,1857313.695,3144069.022,1662837.667,1161461.907,3079975.455,519318.9804,3602906.377,1419637.486
DG(15:3)+H,390001479.8,7240255.337,997476.4743,519400201,1110203.174,226785259.7,2982762.958,7877421.383,138375489.9,4283810.206,2180242.179,1374070.725,46401544.31,265688357.4,3666854.2,1698164.184
DG(15:3)+H,1717277.777,525336.0366,1901477.047,449946.2847,2797898.565,351410.6232,259278.4674,1341148.124,416608.4178,1174719.81,3496916.528,5326367.01,552621.3678,2162496.263,2403660.514,5292839.992
DG(15:3)+H,3852492.5,1538880.888,3052070.767,2673418.803,5928844.879,1291999.827,65476994.17,4475533.788,5601254.311,3152640.18,8437291.55,1335998.183,584205.2037,4038202.367,2048723.257,3034042.311
DG(15:3)+H,12381562.98,802228.7895,4580033.443,2160534.266,11541487.18,6647854.857,6408703.48,562040.3655,2496324.244,806516.2449,29205189.01,14879474.93,7218169.723,3108906.55,4602047.109,2780290.778
DG(15:3)+H,4515670.365,4983199.93,2836651.702,3787344.931,7397511.966,3963066.689,3398817.002,5159957.299,2271267.833,1407360.168,2936902.166,1026714.014,5918006.963,6726816.124,1890915.427,9927098.774
DG(15:3)+H,2972489.996,1979810.935,3170432.995,1991359.179,3142479.588,4209361.199,1357257.665,4658774.704,858234.0072,1485665.015,5089309.378,2493941.187,3127811.435,2418229.935,2928737.739,731311.8759
DG(15:3)+H,2519861.506,5250202.656,3993808.193,12515306.7,1374644.415,8232409.795,1658253.249,4774864.028,1244283.724,1740610.735,1689055.562,4789402.88,4944918.577,758687.8332,990861.2559,4656420.416
DG(15:3)+H,565487.7486,2188121.96,1743886.921,899643.7164,4374883.757,2267805.719,1291960.559,3330415.787,1658356.255,1547858.679,3406196.107,4221148.155,1074543.241,577595.073,3843873.111,2795786.772
DG(15:3)+H,2014117.997,642082.2825,763085.6928,1253442.835,516168.3675,3543661.215,1197154.228,577321.4763,691993.3689,2141055.099,5305080.104,1482933.479,3067701.136,1359511.355,2189380.877,1511178.494
DG(15:3)+H,1373480.459,1173455.652,1787867.317,2949476.891,1993949.381,660883.755,1720203.555,1837773.291,1107382.224,894552.195,905275.7325,1933546.41,3508234.042,2971013.337,1322581.407,1968750.218
DG(15:3)+H,7636483.565,19024032.39,18155293.1,2344839.482,982152.8334,2497478.241,3124366.327,3858235.548,789247.545,4497820.949,3804265.842,2795093.426,1227383.409,3830559.691,4625555.978,4647594.995
DG(15:3)+H,7036528.314,4216070.856,1397970.311,2335745.822,5055498.485,2479934.785,5345519.768,2148308.098,3088388.865,10590580.07,2720713.765,3108041.966,4303119.287,3573235.306,2559522.069,2002569.14
DG(15:3)+H,7895413.01,966836.475,2969547.679,86741919.96,3052256.975,1682457.148,1903726.49,4655311.539,82234207.1,3366407.944,2729465.291,42852025.82,1585498.556,1896635.76,471349.365,1320156.261
DG(15:3)+H,7036702.831,3634675.631,11019763.29,2365415.022,5695036.762,1451534.153,2470960.816,2804014.821,3985998,2606954.554,4704545.534,1868758.012,1706855.698,2976685.516,76555.7325,1645732.324
DG(15:3)+H,4660455.178,10535216.65,198629.4078,9900953.663,18296633.27,15110127.77,10796651.37,5169956.365,11146615.05,25046031.56,10147137.69,6390175.348,33392291.14,7271834.67,2160728.455,7742319.568
DG(15:3)+H,2531028.372,898588.026,3880993.398,7235656.276,17260943.54,1575355.469,4188881.893,245690006.8,45462248.08,3349009.306,996895.59,2703537.293,90248004.01,7353741.193,1800602.472,92133528.65
DG(15:3)+H,4244504.713,4042589.513,4541323.204,2016372.416,129313111,3604645.73,1713064.934,6712500.174,45462248.08,5281021.45,4438040.755,29705544.37,3261876.875,8779102.679,11674559.84,1858752.873
DG(15:3)+H,3878790.287,951065.67,6016304.52,1545087.109,892318.4775,7421503.032,1388234.625,1722658.322,1388429.6,1933156.838,3210894.503,3493252.21,1346409.863,1784652.15,2773660.296,3473434.834
DG(15:3)+H,2906513.541,4957424.955,207325.8954,651574.8837,841635.6354,937166.28,880722.4761,2627739.972,791758.5012,10574.82,4649940.356,1125572.209,2809330.166,1835068.095,2696033.813,1093517.357
DG(15:3)+H,3762334.6,3685789.273,2213534.542,4392776.45,3027112.285,4404189.851,125486945.2,3538107.112,6851405.093,1451915.97,12883895.34,23511909.23,3683532.458,3087400.149,1813568.204,9344378.571
DG(15:3)+H,6085988.225,2562900.842,9065616.918,1186136.11,4540771.365,9130702.413,4922471.085,3198997.93,2966818.374,1709060.694,5295905.508,2394600.562,2468702.327,4290097.79,4330207.946,21496562.37
DG(15:3)+H,5143295.564,2738925.154,4548204.533,4509442.109,2265446.107,4847488.169,2324082.803,2781771.401,3302695.719,1818671.017,326521.2627,3351011.647,1581213.04,4207113.457,3452655.146,3545029.574
DG(15:3)+H,8181901.98,3237269.132,5499684.666,3041756.802,1085518380,461509710.4,6590945.304,3430731.949,635976199.1,4877340.56,176828513.3,22967829.91,6027376.342,16172063.18,9107670.31,354150061.2
DG(15:3)+H,8801628.489,6941560.984,331465676.3,418130221.6,17670716.14,6309539.928,6366895.962,342130234.8,17649620.95,9899593.652,4719288.406,4439646.11,6141577.236,3772229.699,2464076.048,158679661.6
